taxon,sample,taxonomic_level,level,family,genus,id,latitude_dd,longitude_dd,type,base,top,age,age_range,ageBin,layer
Helophorus|glacialis|Villa,COUN000747|3473,species,species,HYDROPHILIDAE,Helophorus,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Helophorus|glacialis|Villa,COUN001138|5337,species,species,HYDROPHILIDAE,Helophorus,5337,44.78361,6.288611,sequences,669,266,467.5,403,500,1
Helophorus|glacialis|Villa,COUN001138|5338,species,species,HYDROPHILIDAE,Helophorus,5338,44.78361,6.288611,sequences,654,69,361.5,585,500,1
Helophorus|tuberculatus|Gyll.,COUN001138|5340,species,species,HYDROPHILIDAE,Helophorus,5340,44.78361,6.288611,sequences,629,0,314.5,629,500,1
Hydroporus|memnonius|Nic.,COUN000747|3473,species,species,DYTISCIDAE,Hydroporus,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Hydroporus|palustris|(L.),COUN000747|3473,species,species,DYTISCIDAE,Hydroporus,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Laricobius|erichsonii|Rosen.,COUN000747|3473,species,species,DERODONTIDAE,Laricobius,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Limnebius|truncatellus|(Thun.),COUN000747|3473,species,species,HYDRAENIDAE,Limnebius,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Microhoria|fasciata|(Chev.),COUN000747|3473,species,species,ANTHICIDAE,Microhoria,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Ochthebius|granulatus|Muls.,COUN000747|3473,species,species,HYDRAENIDAE,Ochthebius,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Omalium|excavatum|Steph.,COUN000747|3473,species,species,STAPHYLINIDAE,Omalium,3473,44.05778,7.457222,sequences,265,20,142.5,245,500,1
Pityogenes|quadridens|(Hartig),COUN000747|3473,species,species,SCOLYTIDAE,Pityogenes,3473,44.05778,7.457222,sequences,265,20,142.5,245,500,1
Semiadalia|rufocincta|(Muls.),COUN000747|3473,species,species,COCCINELLIDAE,Semiadalia,3473,44.05778,7.457222,sequences,265,20,142.5,245,500,1
Stictotarsus|griseostriatus|(Deg.),COUN000747|3473,species,species,DYTISCIDAE,Stictotarsus,3473,44.05778,7.457222,sequences,265,20,142.5,245,500,1
Agabus|bipustulatus|(L.),COUN000747|3474,species,species,DYTISCIDAE,Agabus,3474,44.057777,7.457222,sequences,1010,792,901,218,1000,2
Agabus|bipustulatus|(L.),COUN001138|5332,species,species,DYTISCIDAE,Agabus,5332,44.78361,6.288611,sequences,935,751,843,184,1000,2
Agabus|bipustulatus|(L.),COUN001138|5334,species,species,DYTISCIDAE,Agabus,5334,44.78361,6.288611,sequences,754,609,681.5,145,1000,2
Aleochara|bilineata|Gyll.,COUN000508|2497,species,species,STAPHYLINIDAE,Aleochara,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Anotylus|complanatus|(Er.),COUN000508|2497,species,species,STAPHYLINIDAE,Anotylus,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Anotylus|complanatus|(Er.),COUN001138|5330,species,species,STAPHYLINIDAE,Anotylus,5330,44.78361,6.288611,sequences,1026,936,981,90,1000,2
Anotylus|sculpturatus|(Grav.),COUN001138|5336,species,species,STAPHYLINIDAE,Anotylus,5336,44.78361,6.288611,sequences,677,394,535.5,283,1000,2
Anotylus|tetracarinatus|Block,COUN000747|3474,species,species,STAPHYLINIDAE,Anotylus,3474,44.057777,7.457222,sequences,1010,792,901,218,1000,2
Anthophagus|bicornis|(Block),COUN000508|2497,species,species,STAPHYLINIDAE,Anthophagus,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Anthophagus|bicornis|(Block),COUN000747|3474,species,species,STAPHYLINIDAE,Anthophagus,3474,44.057777,7.457222,sequences,1010,792,901,218,1000,2
Anthophagus|bicornis|(Block),COUN001138|5330,species,species,STAPHYLINIDAE,Anthophagus,5330,44.78361,6.288611,sequences,1026,936,981,90,1000,2
Aphodius|abdominalis|Bonelli,COUN000508|2497,species,species,SCARABAEIDAE,Aphodius,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Aphodius|abdominalis|Bonelli,COUN001138|5330,species,species,SCARABAEIDAE,Aphodius,5330,44.78361,6.288611,sequences,1026,936,981,90,1000,2
Aphodius|abdominalis|Bonelli,COUN001138|5332,species,species,SCARABAEIDAE,Aphodius,5332,44.78361,6.288611,sequences,935,751,843,184,1000,2
Aphodius|abdominalis|Bonelli,COUN001138|5333,species,species,SCARABAEIDAE,Aphodius,5333,44.78361,6.288611,sequences,895,678,786.5,217,1000,2
Aphodius|abdominalis|Bonelli,COUN001138|5334,species,species,SCARABAEIDAE,Aphodius,5334,44.78361,6.288611,sequences,754,609,681.5,145,1000,2
Aphodius|abdominalis|Bonelli,COUN001138|5335,species,species,SCARABAEIDAE,Aphodius,5335,44.78361,6.288611,sequences,717,564,640.5,153,1000,2
Aphodius|abdominalis|Bonelli,COUN001138|5336,species,species,SCARABAEIDAE,Aphodius,5336,44.78361,6.288611,sequences,677,394,535.5,283,1000,2
Aphodius|haemorrhoidalis|(L.),COUN000508|2497,species,species,SCARABAEIDAE,Aphodius,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Aphodius|obscurus|(F.),COUN000508|2497,species,species,SCARABAEIDAE,Aphodius,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Aphodius|obscurus|(F.),COUN001138|5332,species,species,SCARABAEIDAE,Aphodius,5332,44.78361,6.288611,sequences,935,751,843,184,1000,2
Barynotus|liguricus|Solari,COUN001553|7526,species,species,CURCULIONIDAE,Barynotus,7526,44.13587,10.388186,sequences,645,528,586.5,117,1000,2
Barynotus|obscurus|(F.),COUN001553|7526,species,species,CURCULIONIDAE,Barynotus,7526,44.13587,10.388186,sequences,645,528,586.5,117,1000,2
Bembidion|bipunctatum|(L.),COUN000508|2497,species,species,CARABIDAE,Bembidion,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Bembidion|bipunctatum|(L.),COUN001138|5332,species,species,CARABIDAE,Bembidion,5332,44.78361,6.288611,sequences,935,751,843,184,1000,2
Bembidion|bipunctatum|(L.),COUN001138|5334,species,species,CARABIDAE,Bembidion,5334,44.78361,6.288611,sequences,754,609,681.5,145,1000,2
Bembidion|bipunctatum|(L.),COUN001138|5335,species,species,CARABIDAE,Bembidion,5335,44.78361,6.288611,sequences,717,564,640.5,153,1000,2
Bembidion|jacqueti|Jeannel,COUN000508|2497,species,species,CARABIDAE,Bembidion,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Ctenicera|cuprea|(F.),COUN000508|2497,species,species,ELATERIDAE,Ctenicera,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Donacia|obscura|Gyll.,COUN000508|2497,species,species,CHRYSOMELIDAE,Donacia,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Dryocoetes|autographus|(Ratz.),COUN000508|2497,species,species,SCOLYTIDAE,Dryocoetes,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Dryophilus|pusillus|(Gyll.),COUN000747|3474,species,species,ANOBIIDAE,Dryophilus,3474,44.057777,7.457222,sequences,1010,792,901,218,1000,2
Enochrus|fuscipennis|(Thoms.),COUN000508|2497,species,species,HYDROPHILIDAE,Enochrus,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Helophorus|flavipes|F.,COUN000508|2497,species,species,HYDROPHILIDAE,Helophorus,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Helophorus|glacialis|Villa,COUN000508|2497,species,species,HYDROPHILIDAE,Helophorus,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Helophorus|glacialis|Villa,COUN000747|3474,species,species,HYDROPHILIDAE,Helophorus,3474,44.057777,7.457222,sequences,1010,792,901,218,1000,2
Helophorus|glacialis|Villa,COUN001138|5332,species,species,HYDROPHILIDAE,Helophorus,5332,44.78361,6.288611,sequences,935,751,843,184,1000,2
Helophorus|glacialis|Villa,COUN001138|5333,species,species,HYDROPHILIDAE,Helophorus,5333,44.78361,6.288611,sequences,895,678,786.5,217,1000,2
Helophorus|glacialis|Villa,COUN001138|5334,species,species,HYDROPHILIDAE,Helophorus,5334,44.78361,6.288611,sequences,754,609,681.5,145,1000,2
Helophorus|glacialis|Villa,COUN001138|5336,species,species,HYDROPHILIDAE,Helophorus,5336,44.78361,6.288611,sequences,677,394,535.5,283,1000,2
Hylastes|ater|(Payk.),COUN000508|2497,species,species,SCOLYTIDAE,Hylastes,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Laricobius|erichsonii|Rosen.,COUN000747|3474,species,species,DERODONTIDAE,Laricobius,3474,44.057777,7.457222,sequences,1010,792,901,218,1000,2
Limnebius|truncatellus|(Thun.),COUN000747|3474,species,species,HYDRAENIDAE,Limnebius,3474,44.057777,7.457222,sequences,1010,792,901,218,1000,2
Limnebius|truncatellus|(Thun.),COUN001138|5330,species,species,HYDRAENIDAE,Limnebius,5330,44.78361,6.288611,sequences,1026,936,981,90,1000,2
Limnebius|truncatellus|(Thun.),COUN001138|5332,species,species,HYDRAENIDAE,Limnebius,5332,44.78361,6.288611,sequences,935,751,843,184,1000,2
Limnebius|truncatellus|(Thun.),COUN001138|5336,species,species,HYDRAENIDAE,Limnebius,5336,44.78361,6.288611,sequences,677,394,535.5,283,1000,2
Notiophilus|aquaticus|(L.),COUN000508|2497,species,species,CARABIDAE,Notiophilus,2497,45.043335,5.929167,sequences,934,706,820,228,1000,2
Omalium|excavatum|Steph.,COUN000747|3474,species,species,STAPHYLINIDAE,Omalium,3474,44.05778,7.457222,sequences,1010,792,901,218,1000,2
Otiorhynchus|frescati|Bohe.,COUN001553|7526,species,species,CURCULIONIDAE,Otiorhynchus,7526,44.13587,10.38819,sequences,645,528,586.5,117,1000,2
Otiorhynchus|griseopunctatus|Bohe.,COUN001553|7526,species,species,CURCULIONIDAE,Otiorhynchus,7526,44.13587,10.38819,sequences,645,528,586.5,117,1000,2
Otiorhynchus|hypocrita|Rosen.,COUN000508|2497,species,species,CURCULIONIDAE,Otiorhynchus,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Otiorhynchus|pauxillus|Rosen.,COUN000508|2497,species,species,CURCULIONIDAE,Otiorhynchus,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Otiorhynchus|varius|Bohe.,COUN000508|2497,species,species,CURCULIONIDAE,Otiorhynchus,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Pityogenes|bistridentatus|(Eich.),COUN000508|2497,species,species,SCOLYTIDAE,Pityogenes,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Platystethus|arenarius|(Geoff.),COUN000508|2497,species,species,STAPHYLINIDAE,Platystethus,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Platystethus|arenarius|(Geoff.),COUN000747|3474,species,species,STAPHYLINIDAE,Platystethus,3474,44.05778,7.457222,sequences,1010,792,901,218,1000,2
Pseudomeira|parvula|(Seid.),COUN001553|7526,species,species,CURCULIONIDAE,Pseudomeira,7526,44.13587,10.38819,sequences,645,528,586.5,117,1000,2
Quedius|dubius|(Heer),COUN000508|2497,species,species,STAPHYLINIDAE,Quedius,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Quedius|punctatellus|(Heer),COUN000508|2497,species,species,STAPHYLINIDAE,Quedius,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Rhynchaenus|quercus|(L.),COUN000508|2497,species,species,CURCULIONIDAE,Rhynchaenus,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Stenus|brunnipes|Steph.,COUN000508|2497,species,species,STAPHYLINIDAE,Stenus,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Stictotarsus|griseostriatus|(Deg.),COUN000508|2497,species,species,DYTISCIDAE,Stictotarsus,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Stictotarsus|griseostriatus|(Deg.),COUN000747|3474,species,species,DYTISCIDAE,Stictotarsus,3474,44.05778,7.457222,sequences,1010,792,901,218,1000,2
Tachinus|elongatus|Gyll.,COUN000508|2497,species,species,STAPHYLINIDAE,Tachinus,2497,45.04333,5.929167,sequences,934,706,820,228,1000,2
Agabus|bipustulatus|(L.),COUN000747|3475,species,species,DYTISCIDAE,Agabus,3475,44.057777,7.457222,sequences,1512,1304,1408,208,1500,3
Dryophilus|pusillus|(Gyll.),COUN000747|3475,species,species,ANOBIIDAE,Dryophilus,3475,44.057777,7.457222,sequences,1512,1304,1408,208,1500,3
Helophorus|glacialis|Villa,COUN000747|3475,species,species,HYDROPHILIDAE,Helophorus,3475,44.057777,7.457222,sequences,1512,1304,1408,208,1500,3
Limnebius|truncatellus|(Thun.),COUN001138|5329,species,species,HYDRAENIDAE,Limnebius,5329,44.78361,6.288611,sequences,1462,1260,1361,202,1500,3
Omalium|excavatum|Steph.,COUN000747|3475,species,species,STAPHYLINIDAE,Omalium,3475,44.05778,7.457222,sequences,1512,1304,1408,208,1500,3
Rhithrodytes|crux|(F.),COUN000747|3475,species,species,DYTISCIDAE,Rhithrodytes,3475,44.05778,7.457222,sequences,1512,1304,1408,208,1500,3
Agabus|bipustulatus|(L.),COUN000747|3476,species,species,DYTISCIDAE,Agabus,3476,44.057777,7.457222,sequences,2014,1813,1913.5,201,2000,4
Agabus|solieri|Aubé,COUN000508|2496,species,species,DYTISCIDAE,Agabus,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Anthonomus|phyllocola|(Hbst.),COUN000508|2496,species,species,CURCULIONIDAE,Anthonomus,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Anthophagus|bicornis|(Block),COUN000508|2496,species,species,STAPHYLINIDAE,Anthophagus,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Aphodius|abdominalis|Bonelli,COUN000508|2496,species,species,SCARABAEIDAE,Aphodius,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Aphodius|abdominalis|Bonelli,COUN000747|3476,species,species,SCARABAEIDAE,Aphodius,3476,44.057777,7.457222,sequences,2014,1813,1913.5,201,2000,4
Aphodius|abdominalis|Bonelli,COUN001138|5328,species,species,SCARABAEIDAE,Aphodius,5328,44.78361,6.288611,sequences,1892,1509,1700.5,383,2000,4
Aphodius|obscurus|(F.),COUN000508|2496,species,species,SCARABAEIDAE,Aphodius,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Bembidion|bipunctatum|(L.),COUN000508|2496,species,species,CARABIDAE,Bembidion,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Bembidion|jacqueti|Jeannel,COUN000508|2496,species,species,CARABIDAE,Bembidion,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Calathus|micropterus|(Duft.),COUN000508|2496,species,species,CARABIDAE,Calathus,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Cantharis|pagana|Rosen.,COUN000508|2496,species,species,CANTHARIDAE,Cantharis,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Cercyon|tristis|(Ill.),COUN000508|2496,species,species,HYDROPHILIDAE,Cercyon,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Chaetocnema|hortensis|(Geoff.),COUN000747|3476,species,species,CHRYSOMELIDAE,Chaetocnema,3476,44.057777,7.457222,sequences,2014,1813,1913.5,201,2000,4
Dalopius|marginatus|(L.),COUN000508|2496,species,species,ELATERIDAE,Dalopius,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Donacia|obscura|Gyll.,COUN000508|2496,species,species,CHRYSOMELIDAE,Donacia,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Dryophilus|pusillus|(Gyll.),COUN000747|3476,species,species,ANOBIIDAE,Dryophilus,3476,44.057777,7.457222,sequences,2014,1813,1913.5,201,2000,4
Enochrus|fuscipennis|(Thoms.),COUN000508|2496,species,species,HYDROPHILIDAE,Enochrus,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Helophorus|flavipes|F.,COUN000508|2496,species,species,HYDROPHILIDAE,Helophorus,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Helophorus|glacialis|Villa,COUN000508|2496,species,species,HYDROPHILIDAE,Helophorus,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Helophorus|glacialis|Villa,COUN000747|3476,species,species,HYDROPHILIDAE,Helophorus,3476,44.057777,7.457222,sequences,2014,1813,1913.5,201,2000,4
Helophorus|glacialis|Villa,COUN001138|5328,species,species,HYDROPHILIDAE,Helophorus,5328,44.78361,6.288611,sequences,1892,1509,1700.5,383,2000,4
Hydrobius|fuscipes|agg.,COUN000508|2496,species,species,HYDROPHILIDAE,Hydrobius,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Ips|acuminatus|(Gyll.),COUN000508|2496,species,species,SCOLYTIDAE,Ips,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Ips|cembrae|(Heer),COUN000508|2496,species,species,SCOLYTIDAE,Ips,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Limnebius|truncatellus|(Thun.),COUN000508|2496,species,species,HYDRAENIDAE,Limnebius,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Limnebius|truncatellus|(Thun.),COUN001138|5328,species,species,HYDRAENIDAE,Limnebius,5328,44.78361,6.288611,sequences,1892,1509,1700.5,383,2000,4
Notiophilus|aquaticus|(L.),COUN000508|2496,species,species,CARABIDAE,Notiophilus,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Olophrum|consimile|(Gyll.),COUN000508|2496,species,species,STAPHYLINIDAE,Olophrum,2496,45.043335,5.929167,sequences,1852,1454,1653,398,2000,4
Otiorhynchus|hypocrita|Rosen.,COUN000508|2496,species,species,CURCULIONIDAE,Otiorhynchus,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Otiorhynchus|pauxillus|Rosen.,COUN000508|2496,species,species,CURCULIONIDAE,Otiorhynchus,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Otiorhynchus|varius|Bohe.,COUN000508|2496,species,species,CURCULIONIDAE,Otiorhynchus,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Pissodes|pini|(L.),COUN000508|2496,species,species,CURCULIONIDAE,Pissodes,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Pityogenes|bistridentatus|(Eich.),COUN000508|2496,species,species,SCOLYTIDAE,Pityogenes,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Pityokteines|vorontzowi|(Jacob.),COUN000747|3476,species,species,SCOLYTIDAE,Pityokteines,3476,44.05778,7.457222,sequences,2014,1813,1913.5,201,2000,4
Plateumaris|discolor|(Panz.),COUN000508|2496,species,species,CHRYSOMELIDAE,Plateumaris,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Pterostichus|diligens|(Sturm),COUN000508|2496,species,species,CARABIDAE,Pterostichus,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Tachinus|elongatus|Gyll.,COUN000508|2496,species,species,STAPHYLINIDAE,Tachinus,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Tetartopaeus|terminatus|(Grav.),COUN000508|2496,species,species,STAPHYLINIDAE,Tetartopaeus,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Xyloterus|lineatus|(Ol.),COUN000508|2496,species,species,SCOLYTIDAE,Xyloterus,2496,45.04333,5.929167,sequences,1852,1454,1653,398,2000,4
Acidota|crenata|(F.),COUN000508|2494,species,species,STAPHYLINIDAE,Acidota,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Acidota|crenata|(F.),COUN000508|2495,species,species,STAPHYLINIDAE,Acidota,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Agabus|bipustulatus|(L.),COUN000508|2494,species,species,DYTISCIDAE,Agabus,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Agabus|bipustulatus|(L.),COUN000508|2495,species,species,DYTISCIDAE,Agabus,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Agabus|bipustulatus|(L.),COUN000747|3477,species,species,DYTISCIDAE,Agabus,3477,44.057777,7.457222,sequences,2517,2321,2419,196,2500,5
Agabus|bipustulatus|(L.),COUN001138|5326,species,species,DYTISCIDAE,Agabus,5326,44.78361,6.288611,sequences,2645,2237,2441,408,2500,5
Agabus|bipustulatus|(L.),COUN001138|5327,species,species,DYTISCIDAE,Agabus,5327,44.78361,6.288611,sequences,2352,1946,2149,406,2500,5
Amphichroum|hirtellum|(Heer),COUN001138|5327,species,species,STAPHYLINIDAE,Amphichroum,5327,44.78361,6.288611,sequences,2352,1946,2149,406,2500,5
Anotylus|complanatus|(Er.),COUN000508|2494,species,species,STAPHYLINIDAE,Anotylus,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Anthonomus|phyllocola|(Hbst.),COUN000508|2494,species,species,CURCULIONIDAE,Anthonomus,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Anthophagus|bicornis|(Block),COUN000508|2494,species,species,STAPHYLINIDAE,Anthophagus,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Anthophagus|bicornis|(Block),COUN000508|2495,species,species,STAPHYLINIDAE,Anthophagus,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Anthophagus|bicornis|(Block),COUN001138|5326,species,species,STAPHYLINIDAE,Anthophagus,5326,44.78361,6.288611,sequences,2645,2237,2441,408,2500,5
Aphodius|abdominalis|Bonelli,COUN000508|2494,species,species,SCARABAEIDAE,Aphodius,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Aphodius|abdominalis|Bonelli,COUN000508|2495,species,species,SCARABAEIDAE,Aphodius,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Aphodius|abdominalis|Bonelli,COUN001138|5326,species,species,SCARABAEIDAE,Aphodius,5326,44.78361,6.288611,sequences,2645,2237,2441,408,2500,5
Aphodius|abdominalis|Bonelli,COUN001138|5327,species,species,SCARABAEIDAE,Aphodius,5327,44.78361,6.288611,sequences,2352,1946,2149,406,2500,5
Bembidion|bipunctatum|(L.),COUN000508|2495,species,species,CARABIDAE,Bembidion,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Bembidion|bipunctatum|(L.),COUN001138|5326,species,species,CARABIDAE,Bembidion,5326,44.78361,6.288611,sequences,2645,2237,2441,408,2500,5
Calathus|micropterus|(Duft.),COUN000508|2494,species,species,CARABIDAE,Calathus,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Cantharis|pagana|Rosen.,COUN000508|2494,species,species,CANTHARIDAE,Cantharis,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Cantharis|pagana|Rosen.,COUN000508|2495,species,species,CANTHARIDAE,Cantharis,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Curculio|pyrrhoceras|Marsham,COUN000508|2495,species,species,CURCULIONIDAE,Curculio,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Cymindis|vaporariorum|(L.),COUN000508|2495,species,species,CARABIDAE,Cymindis,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Cytilus|sericeus|(Forst.),COUN001138|5327,species,species,BYRRHIDAE,Cytilus,5327,44.78361,6.288611,sequences,2352,1946,2149,406,2500,5
Dalopius|marginatus|(L.),COUN000508|2495,species,species,ELATERIDAE,Dalopius,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Dascillus|cervinus|(L.),COUN001138|5326,species,species,DASCILLIDAE,Dascillus,5326,44.78361,6.288611,sequences,2645,2237,2441,408,2500,5
Diacanthous|undulatus|(Deg.),COUN000508|2495,species,species,ELATERIDAE,Diacanthous,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Donacia|obscura|Gyll.,COUN000508|2494,species,species,CHRYSOMELIDAE,Donacia,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Donacia|obscura|Gyll.,COUN000508|2495,species,species,CHRYSOMELIDAE,Donacia,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Dryophilus|pusillus|(Gyll.),COUN000747|3477,species,species,ANOBIIDAE,Dryophilus,3477,44.057777,7.457222,sequences,2517,2321,2419,196,2500,5
Enochrus|fuscipennis|(Thoms.),COUN000508|2494,species,species,HYDROPHILIDAE,Enochrus,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Enochrus|fuscipennis|(Thoms.),COUN000508|2495,species,species,HYDROPHILIDAE,Enochrus,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Euheptaulacus|carinatus|(Germ.),COUN001138|5327,species,species,SCARABAEIDAE,Euheptaulacus,5327,44.78361,6.288611,sequences,2352,1946,2149,406,2500,5
Grynobius|planus|(F.),COUN000508|2494,species,species,ANOBIIDAE,Grynobius,2494,45.043335,5.929167,sequences,2717,1880,2298.5,837,2500,5
Grynobius|planus|(F.),COUN000508|2495,species,species,ANOBIIDAE,Grynobius,2495,45.043335,5.929167,sequences,2363,1805,2084,558,2500,5
Helophorus|glacialis|Villa,COUN000747|3477,species,species,HYDROPHILIDAE,Helophorus,3477,44.057777,7.457222,sequences,2517,2321,2419,196,2500,5
Helophorus|glacialis|Villa,COUN001138|5326,species,species,HYDROPHILIDAE,Helophorus,5326,44.78361,6.288611,sequences,2645,2237,2441,408,2500,5
Helophorus|glacialis|Villa,COUN001138|5327,species,species,HYDROPHILIDAE,Helophorus,5327,44.78361,6.288611,sequences,2352,1946,2149,406,2500,5
